class,image,width,height,aspect_ratio,avg_r,avg_g,avg_b
Mabroom,IMG_3904.JPG,2883,1186,2.430860033726813,220.02941297296525,218.54106580388017,139.5446612685578
Mabroom,IMG_3910.JPG,2920,1591,1.8353236957888122,220.40547861832704,218.96677812071331,140.0227661411894
Mabroom,IMG_3938.JPG,2228,1370,1.6262773722627737,224.61020911922725,223.30641495958005,143.90312540187756
Mabroom,IMG_3870.JPG,2386,1592,1.4987437185929648,220.99266378073918,219.4809445283922,140.39762464679427
Mabroom,IMG_3864.JPG,2906,2590,1.122007722007722,225.52211850431885,224.15140023076702,144.7537201025413
Mabroom,IMG_2978.JPG,1787,3532,0.5059456398640997,223.18748225040724,223.47990612139918,139.18068599831747
Mabroom,IMG_2944.JPG,1587,3087,0.5140913508260447,217.6643670897098,217.88864017132488,133.8433155256916
Mabroom,IMG_2987.JPG,1462,2000,0.731,217.18350717887301,217.3468508203661,133.4485153526163
Mabroom,IMG_2986.JPG,1928,1646,1.1713244228432564,221.9647013625436,222.25274834024563,138.00636551747542
Mabroom,IMG_2992.JPG,2003,2880,0.6954861111111111,220.10904640926856,220.31207071661024,136.2928264183599
Mabroom,IMG_2945.JPG,2004,3087,0.6491739552964043,221.0310780857053,221.35965123501444,136.99672559084934
Mabroom,IMG_2951.JPG,1836,3089,0.5943671090967951,218.3673082865369,218.62791098902963,134.60796424227323
Mabroom,IMG_2979.JPG,1673,2958,0.5655848546315078,222.41809109939416,222.66842599737083,138.35846960332003
Mabroom,IMG_3859.JPG,2345,2609,0.8988118052893829,225.85464758016118,224.51664733189014,144.99042454123443
Mabroom,IMG_3871.JPG,2372,1591,1.4908862350722816,223.826693534415,222.46121496297368,143.15943828455434
Mabroom,IMG_3939.JPG,2964,1488,1.9919354838709677,226.26918100253272,225.09165164091078,145.6654790068087
Mabroom,IMG_3911.JPG,557,390,1.4282051282051282,225.48801573172082,224.26717462875442,145.0574418684092
Mabroom,IMG_3905.JPG,1223,708,1.7274011299435028,226.54426368884316,224.4916486491555,146.48414124121228
Mabroom,IMG_3913.JPG,856,1372,0.6239067055393586,221.67182258846665,220.29771916616656,141.2932331519526
Mabroom,IMG_3907.JPG,1002,782,1.2813299232736572,224.93928539693002,223.6828370480217,144.51718411753043
Mabroom,IMG_3898.JPG,1808,1386,1.3044733044733046,225.28660529772876,223.92609164460805,144.50077216310157
Mabroom,IMG_2947.JPG,1691,3088,0.5476036269430051,221.18362377918524,221.512292932581,137.30071588907822
