epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,61.93,1.45717,0.25,1,1.54932,0.000175,0.000175,0.000175
2,117.776,1.23184,0.7,1,0.74634,0.000361902,0.000361902,0.000361902
3,171.738,0.72501,0.65833,1,1.34277,0.000548185,0.000548185,0.000548185
4,219.236,0.59716,0.79167,1,0.67749,0.000733849,0.000733849,0.000733849
5,266.41,0.54728,0.775,1,0.45398,0.000918895,0.000918895,0.000918895
6,306.591,0.56464,0.48333,1,1.93555,0.00110332,0.00110332,0.00110332
7,351.131,0.4604,0.75833,1,1.14893,0.00123763,0.00123763,0.00123763
8,387.902,0.43501,0.68333,1,1.09473,0.00123556,0.00123556,0.00123556
9,435.783,0.45511,0.85,1,0.604,0.0012335,0.0012335,0.0012335
10,482.704,0.42505,0.89167,1,0.55908,0.00123144,0.00123144,0.00123144
11,533.603,0.39752,0.91667,1,0.18665,0.00122937,0.00122937,0.00122937
12,580.148,0.38032,0.71667,1,0.78027,0.00122731,0.00122731,0.00122731
13,628.506,0.33157,0.66667,1,1.29199,0.00122525,0.00122525,0.00122525
14,659.102,0.37695,0.9,1,0.29077,0.00122319,0.00122319,0.00122319
15,710.371,0.36781,0.94167,1,0.23071,0.00122112,0.00122112,0.00122112
16,749.094,0.28644,0.80833,1,0.70703,0.00121906,0.00121906,0.00121906
17,794.298,0.26761,0.61667,1,1.18408,0.001217,0.001217,0.001217
18,833.618,0.3294,0.625,1,1.6875,0.00121494,0.00121494,0.00121494
19,881.895,0.32082,0.75,1,0.84082,0.00121287,0.00121287,0.00121287
20,929.983,0.31814,0.85833,1,0.3252,0.00121081,0.00121081,0.00121081
21,978.771,0.21008,0.86667,1,0.33459,0.00120875,0.00120875,0.00120875
22,1024.08,0.2402,0.91667,1,0.37488,0.00120669,0.00120669,0.00120669
23,1070.64,0.24633,0.75833,1,0.66492,0.00120462,0.00120462,0.00120462
24,1098.76,0.22384,0.86667,1,0.31323,0.00120256,0.00120256,0.00120256
25,1146.34,0.25747,0.70833,1,0.94287,0.0012005,0.0012005,0.0012005
26,1194.33,0.28166,0.71667,1,1.1189,0.00119844,0.00119844,0.00119844
27,1241.05,0.27285,0.94167,1,0.1622,0.00119637,0.00119637,0.00119637
28,1288.35,0.27506,0.8,1,0.64453,0.00119431,0.00119431,0.00119431
